Cod_Febraban,Seg_Febraban,Nome_Convênio,CNPJ,Grade,Descricao_Conv,
0031,2,DAE JUNDIAI,3582243000173,"Estendida, até 23:59",SANEAMENTO,
0033,2,DAE STA BARBARA,54010863000179,"Estendida, até 23:59",SANEAMENTO,
0034,2,DAE SANTANA LIVRAMEN,96041330000102,"Estendida, até 23:59",SANEAMENTO,
0035,2,SAESA,59330936000123,"Estendida, até 23:59",SANEAMENTO,
0039,2,DAEMO OLIMPIA,46933016000158,"Estendida, até 23:59",SANEAMENTO,
0040,2,SAERP RIB P,45198109000113,"Estendida, até 23:59",SANEAMENTO,
0041,2,DESO,13018171000190,"Estendida, até 23:59",SANEAMENTO,
0043,2,DMAE PORTO ALEGRE,92924901000198,"Estendida, até 23:59",SANEAMENTO,
0044,2,DMAE UBERLANDIA,25769548000121,"Estendida, até 23:59",SANEAMENTO,
0047,2,EMBASA,13504675000110,"Estendida, até 23:59",SANEAMENTO,
0050,2,SAAE AGUAS LINDOIA,46439865000150,"Estendida, até 23:59",SANEAMENTO,
0051,2,SAAE AMPARO,43467992000174,"Estendida, até 23:59",SANEAMENTO,
0052,2,SAAE ARACRUZ,27108141000189,"Estendida, até 23:59",SANEAMENTO,
0055,2,S BARRA BONITA,44497659000170,"Estendida, até 23:59",SANEAMENTO,
0059,2,BRK CACHOEIRO,2628150000170,"Estendida, até 23:59",SANEAMENTO,
0060,2,SAAE CACOAL,4395067000123,"Estendida, até 23:59",SANEAMENTO,
0062,2,SAAE CAPIVARI,50062751000100,"Estendida, até 23:59",SANEAMENTO,
0068,2,SAAE GARCA,48211262000121,"Estendida, até 23:59",SANEAMENTO,
0079,2,SAAE LINHARES,27834977000160,"Estendida, até 23:59",SANEAMENTO,
0085,2,SAAE PASSOS,23278690000140,"Estendida, até 23:59",SANEAMENTO,
0089,2,SAAE SAO CARLOS,45359973000150,"Estendida, até 23:59",SANEAMENTO,
0091,2,SAAE SOROCABA,71480560000139,"Estendida, até 23:59",SANEAMENTO,
0092,2,SAAET-TAQUARITINGA,45374865000156,"Estendida, até 23:59",SANEAMENTO,
0095,2,SAAE VOLTA REDONDA,32504706000187,"Estendida, até 23:59",SANEAMENTO,
0097,2,SABESP,43776517000180,"Estendida, até 23:59",SANEAMENTO,
0099,2,SAEMA ARARAS,44699908000100,"Estendida, até 23:59",SANEAMENTO,
0101,2,SAMAE JARAGUA DO SUL,84438381000185,"Estendida, até 23:59",SANEAMENTO,
0105,2,SANASA,46119855000137,"Estendida, até 23:59",SANEAMENTO,
0106,2,SANEAGO,1616929000102,"Estendida, até 23:59",SANEAMENTO,
0107,2,SANEATINS,25089509000183,"Estendida, até 23:59",SANEAMENTO,
0109,2,SANEPAR,76484013000145,"Restrita, até 20:45",SANEAMENTO,
0114,2,SIMAE JOACABA,84591890000143,"Estendida, até 23:59",SANEAMENTO,
0116,2,SAEV,72962806000171,"Estendida, até 23:59",SANEAMENTO,
0119,2,SAMAE BRUSQUE,82985003000196,"Estendida, até 23:59",SANEAMENTO,
0121,2,SEMAE PIRACICABA,50853555000154,"Estendida, até 23:59",SANEAMENTO,
0124,2,BRK LIMEIRA,585900000148,"Estendida, até 23:59",SANEAMENTO,
0126,2,SAEP-PIRASSUNUNGA,46965083000154,"Estendida, até 23:59",SANEAMENTO,
0129,2,SAAE ALAGOINHAS,13644919000160,"Estendida, até 23:59",SANEAMENTO,
0135,2,SAAE JUAZEIRO,14659593000107,"Restrita, até 20:45",SANEAMENTO,
0139,2,SAAE VALENCA,16176067000111,"Estendida, até 23:59",SANEAMENTO,
0153,2,SAMAE RIO NEGRINHO,85908309000137,"Estendida, até 23:59",SANEAMENTO,
0156,2,SAAE BARRA MANSA,29053402000136,"Estendida, até 23:59",SANEAMENTO,
0158,2,SAMAE GASPAR,82636028000184,"Estendida, até 23:59",SANEAMENTO,
0178,2,SAAE LUCAS RIO VERDE,1377043000153,"Estendida, até 23:59",SANEAMENTO,
